"";"ResponseId";"Województwo";"StartDate";"EndDate";"Status";"IPAddress";"Progress";"Duration__in_seconds_";"Finished";"RecordedDate";"RecipientLastName";"RecipientFirstName";"RecipientEmail";"ExternalReference";"LocationLatitude";"LocationLongitude";"DistributionChannel";"UserLanguage";"Q_RecaptchaScore";"Q2";"Q4";"Q20";"Q19";"Q5_1";"Q5_2";"Q5_3";"Q5_4";"Q5_5";"Q5_6";"Q5_7";"Q5_8";"Q5_9";"Q5_10";"Q5_11";"Q5_12";"Q5_13";"Q5_14";"Q5_15";"Q21_1";"Q21_2";"Q21_3";"Q21_4";"Q21_5";"Q21_6";"Q21_7";"Q21_8";"Q21_9";"Q21_10";"Q21_11";"Q21_12";"Q21_13";"Q21_14";"Q21_15";"Q21_16";"Q21_17";"Q21_18";"Q7_1";"Q7_2";"Q7_3";"Q7_4";"Q7_5";"Q7_6";"Q7_7";"Q7_8";"Q7_9";"Q7_10";"Q7_11";"Q9_1";"Q9_2";"Q9_3";"Q9_4";"Q9_5";"Q9_6";"Q9_7";"Q9_8";"Q9_9";"Q9_10";"Q9_11";"Q9_12";"Q9_13";"Q9_14";"Q9_15";"Q9_16";"Q9_17";"Q9_18";"Q9_19";"Q9_20";"Q9_21";"Q9_22";"Q9_23";"Q9_24";"Q9_25";"Q9_26";"Q9_27";"Q9_28";"Q9_29";"Q9_30";"Q9_31";"Q6_1";"Q6_2";"Q6_3";"Q6_4";"Q6_5";"Q6_6";"Q6_7";"Q6_8";"Q6_9";"Q6_10";"Q6_11";"Q6_12";"Q6_13";"Q6_14";"Q6_15";"Q6_16";"Q6_17";"Q6_18";"Q6_19";"Q6_20";"Q6_21";"Q6_22";"Q6_23";"Q8_1";"Q8_2";"Q8_3";"Q8_4";"Q8_5";"Q8_6";"Q8_7";"Q8_8";"Q8_9";"Q8_10";"Q8_11";"Q8_12";"Q8_13";"Q10_1";"Q10_2";"Q10_3";"Q10_4";"Q10_5";"Q10_6";"Q10_7";"Q10_8";"Q10_9";"Q10_10";"Q10_11";"Q10_12";"Q11_1";"Q11_2";"Q11_3";"Q11_4";"Q11_5";"Q11_6";"Q11_7";"Q11_8";"Q11_9";"Q11_10";"Q11_11";"Q11_12";"Q11_13";"Q12_1";"Q12_2";"Q13_1";"Q13_2";"Q13_3";"Q13_4";"Q13_5";"Q13_6";"Q13_7";"Q13_8";"Q13_9";"Q13_10";"Q14_1";"Q14_2";"Q14_3";"Q14_4";"Q15_1";"Q15_2";"Q15_3";"Q15_4";"Q15_5";"Q15_6";"Q15_7";"Q15_8";"Q15_9";"Q15_10";"Q15_11";"Q15_12";"Q15_13";"Q15_14";"Q16_1";"Q16_2";"Q17";"Q18_1";"Q18_2";"Kody_szkol";"Q99___Miasto_Wie_";"Q18_1_Nic";"Q18_1_Nie_wiem";"Q18_1_odp";"Q18_2_m_zew_pieni_dze";"Q18_2_Zawodowe";"Q18_2_m_zew_s_awa";"Q18_2_Wa_ne";"Q18_2_m_osi_gniec";"Q18_2_m_zew_wynalazek";"Q18_2_Inne";"Q18_2_Status";"Q18_2_m_zew_inne";"Q18_2_Pomoc";"Q18_2_m_wew_zaint";"Q18_2_m_zew_wa_ne";"Q18_2_m_wew__przyj";"Q18_2_odp";"Q18_2_W_asne";"Q18_2___Parent_Topics";"Q18_2___Sentiment_Polarity";"Q18_2___Sentiment_Score";"Q18_2___Sentiment";"Q18_2___Topic_Sentiment_Label";"Q18_2___Topic_Sentiment_Score";"Q18_2___Topics"
"315";"R_RPu4E0eHOhnTEGd";"SLASKIE";2020-12-07 06:07:08;2020-12-07 06:25:50;0;"195.225.37.163";100;1121;1;2020-12-07 06:25:50;"";"";"";"";"50.18609619140625";"18.882598876953125";"anonymous";"EN";0,9;2;"14";"zspstudzienice";"studzienice";2;1;2;2;2;2;2;1;2;2;2;1;1;2;2;2;2;2;2;1;2;2;1;2;3;1;3;1;1;2;2;1;2;3;1;1;1;1;1;1;2;2;2;2;1;1;2;1;1;2;2;1;1;1;2;2;1;1;1;2;1;2;2;1;1;1;2;1;1;1;1;1;1;1;1;2;2;3;2;1;3;1;2;3;3;2;2;3;2;1;2;3;1;3;3;1;2;2;4;4;4;1;1;2;2;2;2;2;1;1;1;4;1;2;2;2;2;2;1;1;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;4;2;4;1;4;4;2;1;1;1;2;4;1;3;1;1;1;1;1;1;1;2;1;1;4;3;3;3;"";"";2;"";"";0;1;"";"";"999";"";"";"";"";"";"";"";"";"";"";"";"";"";"999";"";"";NA;NA;"";"";"";""
"316";"R_vv0GikBjk8BR25b";"SLASKIE";2020-12-07 06:05:49;2020-12-07 06:26:45;0;"93.157.115.37";100;1256;1;2020-12-07 06:26:46;"";"";"";"";"50.18609619140625";"18.882598876953125";"anonymous";"EN";0,7;1;"14";"ZSP w Studzienicach";"Studzienice";1;2;3;1;3;3;4;1;1;1;2;3;3;4;2;2;4;3;3;2;1;3;3;3;2;4;2;4;3;2;3;4;1;2;4;4;4;4;4;4;4;4;4;3;4;3;3;1;3;4;3;3;4;2;2;2;4;2;1;2;1;4;1;1;3;4;2;3;4;3;2;4;2;1;4;4;3;3;2;1;4;1;1;4;2;2;2;4;3;3;2;4;3;2;4;4;3;2;2;3;2;3;3;2;4;2;3;3;2;3;2;4;2;1;1;1;1;2;1;2;1;1;2;3;3;4;3;3;3;2;2;2;4;2;3;4;1;3;4;3;4;1;4;1;1;3;2;2;3;1;2;3;3;3;3;4;3;4;3;4;2;2;2;3;4;4;"Odkrywac nowe wynalazki potrzebne spoleczenstwu.";"Chce pomagac swiatu.";5;"";"";20;1;"";"";"999";"";"";"";"";"";"";"";"";"";"";"";"";"";"999";"";"";NA;NA;"";"";"";""
"317";"R_1PUE0u9UdCJSnHE";"SLASKIE";2020-12-07 06:06:21;2020-12-07 06:27:55;0;"93.157.118.95";100;1293;1;2020-12-07 06:27:55;"";"";"";"";"50.18609619140625";"18.882598876953125";"anonymous";"EN";0,9;2;"14";"ZSP Studzienice";"Studzienice k. Pszczyny";2;3;1;1;4;2;2;2;2;4;4;4;4;3;NA;2;3;3;1;4;4;3;4;4;1;1;2;1;1;4;4;3;2;3;4;3;4;4;3;2;1;3;2;2;3;2;1;1;1;1;1;2;3;3;1;1;1;1;1;2;1;2;1;1;1;3;3;1;2;2;2;3;3;3;4;3;2;4;2;3;4;3;3;2;4;4;4;3;3;1;2;3;2;1;3;2;4;2;2;2;2;2;2;2;2;2;4;3;2;4;3;4;3;2;1;1;2;3;2;3;1;4;2;3;3;2;2;3;3;2;2;3;NA;2;2;3;1;2;1;1;1;1;1;1;1;1;1;1;4;4;1;4;1;2;2;1;3;2;1;4;4;3;4;3;4;4;"nie chcial byc naukowcem";"nie lubie czegos robic, co moze wplynac na caly swiat";4;"grafikiem komputerowym";"podoba mi sie ta praca";20;1;"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"";"";0;5;"Positive";"";"";"Unknown"
"318";"R_2DM03oxhodxBOV6";"SLASKIE";2020-12-07 06:05:19;2020-12-07 06:28:06;0;"195.160.184.141";100;1367;1;2020-12-07 06:28:06;"";"";"";"";"50.18609619140625";"18.882598876953125";"anonymous";"EN";0,9;2;"14";"zsp studziecice";"Studzienice";1;2;2;2;3;1;1;1;2;2;2;3;2;2;NA;2;1;2;2;1;1;2;3;1;2;2;2;1;1;1;2;1;2;2;3;2;2;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;3;2;3;2;4;1;4;2;2;2;NA;2;1;3;3;2;3;3;2;2;4;1;2;NA;4;1;1;1;1;4;4;4;3;1;1;1;4;4;1;1;1;4;3;2;2;1;1;2;3;4;4;3;2;1;1;4;2;1;2;3;2;4;1;3;2;1;4;1;4;3;1;1;1;2;1;4;1;4;1;3;1;3;2;1;1;3;3;1;4;2;2;1;"byc dobry";"zeby byc dobry";3;"mechanikiem samochodowym";"mnie to kreci";20;1;"";"";"1";"";"";"";"";"";"";"";"";"";"";"1";"";"";"1";"";"";0;0;"Neutral";"";"";"Unknown"
"319";"R_1LYyVbF3LjKrf52";"SLASKIE";2020-12-07 06:06:13;2020-12-07 06:30:15;0;"195.225.37.9";100;1442;1;2020-12-07 06:30:15;"";"";"";"";"50.18609619140625";"18.882598876953125";"anonymous";"EN";0,9;1;"14";"Zespól Szkolo Przedszkolny w Studzienicach";"Studzienice";2;3;4;3;3;3;3;2;4;2;4;4;4;3;3;3;2;2;2;4;2;3;3;2;3;4;4;2;2;4;2;2;2;2;4;3;3;1;1;2;2;2;2;2;3;2;3;2;1;2;2;2;2;2;4;3;2;3;2;3;2;3;4;2;2;3;3;3;1;1;1;3;3;3;4;4;4;3;2;2;4;4;4;4;3;4;4;4;4;2;1;2;1;1;4;3;4;3;1;4;2;4;3;4;1;2;4;2;1;3;1;2;3;2;2;4;2;3;3;3;1;1;3;3;3;2;2;NA;1;1;1;4;2;4;1;NA;2;3;2;1;2;2;3;1;1;4;1;1;2;1;1;2;2;4;3;3;4;3;4;3;1;1;1;1;4;4;"Odkrywalabym ludzi i ich zachowania, reakcje i zycie";"Uwazam to za bardzo wazne i przydatne";2;"Chcialabym byc psychologiem";"Pomaganie ludziom sprawia mi przyjemnosc i bardzo lubie rozmawiac z ludzmi o ich problemach";20;1;"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"";"";0;8;"Positive";"";"";"Unknown"
"320";"R_26hhBRvSAa05Jt2";"SLASKIE";2020-12-11 04:10:19;2020-12-11 04:23:40;0;"93.157.116.94";100;800;1;2020-12-11 04:23:40;"";"";"";"";"50.18609619140625";"18.882598876953125";"anonymous";"EN";1;2;"14";"Szkola podstawowa im. Bohaterów Wrzesnia 1939 w Gostyni";"Gostyn";1;1;1;1;2;1;1;1;2;1;1;3;1;1;1;2;1;3;1;4;3;4;1;NA;1;3;1;1;1;1;1;1;1;1;1;4;2;3;1;1;1;1;3;1;1;1;1;1;1;1;1;2;3;1;2;1;1;1;1;1;1;1;2;1;1;3;1;1;1;1;1;1;1;1;4;1;1;2;1;2;3;1;1;1;1;1;1;1;2;1;1;4;1;3;4;4;1;1;1;1;1;1;1;2;1;1;4;2;1;1;3;4;1;1;1;1;1;1;2;3;1;1;3;4;2;3;2;4;1;1;2;4;3;2;1;3;1;4;4;1;1;1;3;1;1;1;1;4;2;4;3;1;1;1;1;1;2;1;1;4;4;1;2;1;3;4;"nie chce";"";3;"nie wiem jeszcze";"";26;2;"";"1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"999";"";"";NA;NA;"";"";"";""
"321";"R_1IR6jTpJi96DmGi";"SWIETOKRZYSKIE";2020-12-03 08:29:11;2020-12-03 08:48:08;0;"91.232.164.147";100;1137;1;2020-12-03 08:48:08;"";"";"";"";"50.1880950927734375";"20.280303955078125";"anonymous";"EN";0,9;1;"14";"Szkola Podstawowa im. Kazimierza Wielkiego w Slomnikach";"Slomniki";4;2;2;2;1;4;4;4;3;3;4;4;4;2;2;1;1;3;4;4;4;3;2;2;2;4;3;4;2;2;2;4;3;1;3;2;4;4;4;3;3;4;2;4;2;2;3;1;3;4;4;2;4;1;2;1;4;1;1;1;1;4;3;1;4;4;2;2;4;4;2;4;3;2;4;4;4;2;1;1;2;3;2;2;3;4;3;3;2;2;2;4;3;4;2;4;4;2;2;2;3;1;2;4;2;4;3;1;1;2;1;2;4;4;4;4;2;2;4;2;4;1;2;3;4;4;4;4;4;4;4;2;4;4;1;3;4;4;2;1;2;2;2;1;1;1;1;1;2;1;1;2;4;4;4;4;4;4;4;4;4;4;2;2;2;2;"odkryc lekarstwa na nieuleczalne choroby np. rak, AIDS";"swiat stalby sie bardziej przyjazny na ludzi i mniej ich by umieralo";7;"biotechnolog, lekarz, weterynarz lub naukowiec";"bardzo lubie i interesuja mnie nauki zwiazane w tymi zawodami";13;2;"";"";"1";"";"";"";"";"";"";"";"";"";"";"1";"";"1";"1";"";"";0;8;"Positive";"";"";"Unknown"
"322";"R_51HBquQcRz6eZ2N";"DOLNOSLASKIE";2020-11-20 01:16:50;2020-11-20 01:43:11;0;"83.30.177.51";100;1580;1;2020-11-20 01:43:11;"";"";"";"";"50.838104248046875";"16.4900054931640625";"anonymous";"EN";0,9;1;"14";"Szkola Postawowoa nr 2 im. Jana Pawla II w Twardogórze";"w Twardogórze";3;2;1;1;4;2;2;3;3;2;NA;3;3;2;NA;3;1;2;1;2;3;2;2;2;1;1;1;4;2;2;2;3;2;2;3;2;4;4;4;3;3;4;4;2;2;1;2;2;1;1;1;1;1;2;2;1;1;1;2;2;1;1;1;1;1;3;2;1;3;2;1;2;2;1;4;2;4;4;2;3;4;4;4;4;4;4;4;4;4;3;4;4;2;2;4;4;4;2;1;4;3;3;2;2;1;3;4;4;1;2;2;3;4;3;4;2;2;4;2;3;4;1;3;3;4;4;3;2;3;3;1;3;4;4;2;2;1;3;2;1;1;1;3;2;1;1;1;2;2;1;1;3;3;3;4;3;3;3;3;4;2;2;2;3;3;2;"Zwalczac nowotwory, odkrywac nowe techniki chirurgi plastycznej";"";6;"Lekarz, chirurg plastyczny";"Moim zdaniem te zawody beda potrzebne badz poszukiwane w niedalekiej przyszlosci";18;2;"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"1";"";"1";"";"";0;4;"Positive";"";"";"Unknown"
"323";"R_3lrez3LY5InfFEv";"DOLNOSLASKIE";2020-11-29 09:36:03;2020-11-29 09:41:35;0;"62.141.209.146";100;332;1;2020-11-29 09:41:36;"";"";"";"";"50.838104248046875";"16.4900054931640625";"anonymous";"EN";0,9;2;"14";"spbraszowice";"braszowice";1;1;3;2;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;"nikim";"tak";5;"mechanik lub cnc";"interesuje sie tym";NA;1;"";"";"1";"";"";"";"";"";"";"";"";"";"";"1";"";"";"1";"";"";0;0;"Neutral";"";"";"Unknown"
"324";"R_2tzYGJVYhRef3ph";NA;2020-12-01 04:45:09;2020-12-01 05:06:24;0;"185.21.84.180";100;1275;1;2020-12-01 05:06:24;"";"";"";"";"52.805694580078125";"17.203704833984375";"anonymous";"EN";0,9;2;"14";"Szkola Podstawowa Nr3 w Trzciance im Mikolaja Kopernika";"Trzcianka";3;2;3;2;3;3;3;2;2;4;1;3;3;1;2;1;3;2;3;4;4;2;3;3;3;2;4;1;1;3;2;2;1;3;4;2;3;3;3;3;2;1;3;1;2;1;3;1;3;1;3;3;3;2;3;1;3;1;2;1;1;2;2;2;1;3;2;1;1;2;1;2;3;3;4;4;4;3;3;1;4;4;4;3;4;4;4;4;3;1;3;4;1;2;3;3;4;2;2;2;3;2;1;4;1;2;4;2;4;2;1;2;3;1;1;2;1;1;1;3;2;4;3;4;4;4;4;3;1;1;2;1;4;4;3;3;2;2;2;1;3;3;3;1;2;1;1;1;3;1;1;2;1;1;1;1;1;1;4;4;4;1;4;2;4;4;"Nie wiem";"nie jestem naukowcem";6;"programista";"interesuje sie tym";17;2;"";"";"1";"";"";"";"";"";"";"";"";"";"";"1";"";"";"1";"";"";0;0;"Neutral";"";"";"Unknown"
"325";"R_22WVDPVVWQqZH1O";NA;2020-12-01 04:53:58;2020-12-01 05:08:56;0;"83.11.195.155";100;897;1;2020-12-01 05:08:56;"";"";"";"";"52.805694580078125";"17.203704833984375";"anonymous";"EN";0,7;1;"14";"Szkola podstawowa nr.3 im. Mikolaja Kopernika";"Trzcianka";2;2;3;3;4;2;1;1;4;2;3;3;1;1;1;4;1;4;4;1;1;4;2;4;4;4;4;4;4;4;1;4;1;1;4;4;4;4;4;4;4;4;4;1;1;1;1;4;1;1;3;4;4;1;4;4;4;4;4;4;4;1;4;4;1;4;1;1;4;4;4;4;4;4;4;4;4;1;1;3;4;4;4;1;4;4;4;4;4;4;4;4;4;1;1;4;4;4;1;1;1;1;4;4;4;4;4;4;1;1;4;4;1;1;1;1;4;1;1;1;1;1;1;4;4;4;1;4;4;4;4;4;4;4;1;1;2;2;2;1;1;2;1;2;1;1;1;1;1;1;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;"Zmienic ludzkosc";"Ludzie sluchaja sie wszystkiego co powiedza media";4;"Policjantem";"Chce pomagac ludzia";17;2;"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"1";"";"1";"";"";0;4;"Positive";"";"";"Unknown"
"326";"R_22xFakRME44c3o3";"WIELKOPOLSKIE";2020-11-19 09:39:11;2020-11-19 10:04:19;0;"81.161.200.244";100;1507;1;2020-11-19 10:04:19;"";"";"";"";"51.1195068359375";"17.7064056396484375";"anonymous";"EN";0,9;2;"14";"Zespól Szkól im. sw. Jana Pawla 2 w Dziadowej Klodzie";"Dziadowa Kloda";3;3;2;2;3;3;3;4;3;4;1;4;4;3;4;2;2;2;3;4;4;4;4;3;2;2;2;3;3;2;4;4;3;3;3;2;2;1;1;4;2;3;1;2;3;2;2;2;3;2;2;2;2;1;2;2;3;2;3;3;2;2;2;2;2;4;2;2;1;2;2;2;2;4;4;2;3;3;4;2;3;2;3;3;3;3;3;2;3;1;3;4;2;2;3;3;4;4;2;3;3;2;4;4;2;3;4;3;1;3;2;2;4;2;2;3;4;3;3;4;2;4;3;4;4;4;4;2;4;4;2;3;4;2;4;4;NA;2;4;4;1;2;3;2;2;1;1;1;3;2;2;3;2;3;3;2;1;3;3;3;1;3;2;2;1;1;"Znalezc sposób by szybciej pomijac takie ankiety jak ta";"trwalo to bardzo dlugo";3;"programista";"ciekawie jest miec umiejetnosc która mozna uzyc poza praca";31;1;"";"";"1";"";"";"";"";"";"";"";"";"";"";"1";"";"";"1";"";"";0;-5;"Negative";"";"";"Unknown"
"327";"R_3j2jV1Wy1ftq1HT";"WIELKOPOLSKIE";2020-11-19 14:42:02;2020-11-19 15:00:43;0;"81.161.200.222";100;1120;1;2020-11-19 15:00:43;"";"";"";"";"51.1195068359375";"17.7064056396484375";"anonymous";"EN";0,9;1;"14";"ZSP im. sw. Jana Pawla II Dziadowa Kloda";"Dziadowa Kloda";1;1;1;NA;4;4;4;1;NA;1;1;1;4;4;1;4;4;4;4;1;1;4;4;4;4;1;4;4;4;4;1;1;1;1;1;1;4;4;NA;NA;4;4;4;4;4;4;4;4;4;1;1;4;1;4;4;4;4;1;NA;1;1;4;NA;4;4;1;4;1;1;1;1;NA;1;1;1;4;4;4;4;1;1;1;4;1;4;4;4;4;4;4;4;4;1;NA;4;4;1;1;4;4;1;4;4;4;1;4;4;4;1;4;4;4;4;1;1;4;1;1;1;4;1;1;4;1;1;4;4;4;1;1;1;1;4;1;1;4;2;4;4;1;4;4;4;3;1;1;1;1;4;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;"znalesc lek na choroby nieuleczalne";"chcialabym ,aby moi bliscy zyli wile,wile lat i zadna choroba tego nie zmienila";4;"weteryniarzem";"lubie zwierzeta";31;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"";"";0;5;"Positive";"";"";"Unknown"
"328";"R_1gMYWA6iByNmGRb";"WARMINSKO-MAZURSKIE";2020-12-09 02:38:06;2020-12-09 02:48:24;0;"31.135.161.20";100;617;1;2020-12-09 02:48:24;"";"";"";"";"53.8686065673828125";"21.3029022216796875";"anonymous";"EN";0,9;1;"14";"Szkola Podstawowa im. Bojowników o Polskosc Warmii i Mazur";"Ryn";3;4;4;2;4;4;3;3;4;4;4;4;4;4;4;3;4;4;4;4;4;2;4;2;2;4;4;4;4;4;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;4;2;4;4;4;4;2;4;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;4;2;1;1;4;4;4;1;1;1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;4;NA;1;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;"odkryc cos nowego";"tak mi sie chce";3;"mechanikiem samochodowym";"tak chce";14;2;"";"";"1";"";"";"";"";"";"";"1";"";"";"";"";"";"";"1";"";"";0;0;"Neutral";"";"";"Unknown"
"329";"R_3G0LeZXZ1IJKAbY";"KUJAWSKO-POMORSKIE";2020-11-19 04:58:40;2020-11-19 05:13:59;0;"77.91.29.22";100;918;1;2020-11-19 05:13:59;"";"";"";"";"52.651397705078125";"19.0727996826171875";"anonymous";"EN";0,9;1;"14";"ssp6 im jana pawla";"wrzesnia";3;2;1;2;4;2;3;1;3;NA;1;4;4;3;NA;2;3;1;2;4;1;3;3;1;1;4;4;4;1;1;1;1;1;3;4;4;4;4;4;1;2;3;4;4;1;4;4;4;4;4;4;4;4;4;4;2;3;4;4;4;4;3;1;1;3;4;4;3;1;3;1;4;4;3;4;4;4;4;1;1;3;3;4;4;2;1;4;4;4;2;4;4;2;2;4;4;2;4;1;4;4;2;4;4;1;1;4;4;2;1;4;4;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;1;4;4;1;4;4;4;4;3;1;4;4;1;4;1;1;1;1;1;1;1;4;4;1;4;1;4;4;3;4;4;4;4;4;4;1;4;4;4;"Odkryc leki na wszystkie choroby.";"";6;"Szefowa czegos";"duzo zarabia";NA;2;"";"";"1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";0;-3;"Negative";"";"";"Unknown"
"330";"R_RRITt2CsINcS79T";"KUJAWSKO-POMORSKIE";2020-11-24 13:27:52;2020-11-24 13:50:54;0;"176.103.37.35";100;1382;1;2020-11-24 13:50:55;"";"";"";"";"52.5803985595703125";"19.00830078125";"anonymous";"EN";0,9;2;"14";"Zespól szkól podstawowych w klobi";"W klobi";NA;1;3;2;1;4;4;3;4;1;3;2;4;3;3;2;2;3;4;4;3;1;1;1;2;1;NA;1;1;3;4;3;1;3;1;3;2;1;4;1;4;4;2;1;2;3;3;3;2;3;3;4;4;3;3;4;3;4;4;4;4;3;4;4;3;2;4;3;3;1;2;2;4;4;3;1;4;4;4;1;3;1;3;1;4;1;NA;3;4;1;4;3;1;1;4;4;4;2;1;2;1;3;4;4;3;3;4;4;4;2;3;3;4;1;4;1;1;4;4;4;1;3;3;3;3;4;4;4;2;3;2;4;4;1;3;3;1;2;2;2;4;4;3;4;2;3;3;3;1;2;2;NA;3;1;2;1;3;3;4;4;4;1;4;4;4;4;"Badac zwierzeta";"Lubie zwierzeta";3;"Rolnik";"Lubie to";3;1;"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"";"";0;5;"Positive";"";"";"Unknown"
"331";"R_2S0qvViPtBxaeFV";"KUJAWSKO-POMORSKIE";2020-11-24 13:32:36;2020-11-24 14:05:17;0;"176.97.142.161";100;1960;1;2020-11-24 14:05:17;"";"";"";"";"52.545501708984375";"18.829803466796875";"anonymous";"EN";0,9;2;"14";"Publiczna skola podstawowa w klobi";"Klobia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;4;4;4;4;4;4;1;1;4;1;4;1;4;4;4;1;1;4;4;1;4;1;1;4;4;1;1;1;4;4;4;4;4;1;1;4;4;1;1;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;4;2;3;4;4;1;4;4;3;1;4;1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;4;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";"";4;"Kucharzem";"Bardzo lubie gotowac";52;1;"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"";"";0;8;"Positive";"";"";"Unknown"
"332";"R_1CKerf552227fNL";"SLASKIE";2020-12-02 09:27:31;2020-12-02 09:48:46;0;"94.246.131.95";100;1275;1;2020-12-02 09:48:46;"";"";"";"";"50.2079925537109375";"19.29150390625";"anonymous";"EN";0,9;2;"13";"Sp.3 z oddzilami integracyjnymi im. Jana Kochanowskiego w Jaworznie";"Jaworzno";3;4;2;3;4;4;2;4;3;2;4;4;2;2;NA;2;3;3;2;4;2;4;3;4;2;1;1;1;1;3;2;2;2;3;1;3;4;1;1;3;1;1;3;3;2;3;3;2;1;3;3;1;4;1;1;1;2;1;3;3;2;1;1;1;2;2;1;2;1;1;1;3;3;3;4;3;2;3;2;1;4;3;3;3;2;2;3;4;3;2;2;3;1;2;2;2;4;2;1;2;3;2;4;4;1;1;4;3;2;2;1;2;3;2;1;3;2;4;4;3;2;2;3;4;4;4;3;3;3;1;2;3;4;2;1;2;1;2;2;2;3;1;1;1;2;2;1;1;2;1;1;2;4;4;4;2;2;4;3;2;2;3;2;3;2;1;"";"";4;"";"";24;2;"";"";"999";"";"";"";"";"";"";"";"";"";"";"";"";"";"999";"";"";NA;NA;"";"";"";""
"333";"R_2UfMB5e5ej0tolu";"SLASKIE";2020-12-03 04:39:54;2020-12-04 03:01:43;0;"94.246.136.109";100;80509;1;2020-12-04 03:01:43;"";"";"";"";"50.2079925537109375";"19.29150390625";"anonymous";"EN";0,9;1;"13";"Szkola Podstawowa nr 3 z Oddzialami Integracyjnymi w Jaworznie";"Jaworzno";1;3;3;2;2;3;2;1;1;3;2;4;2;2;NA;1;2;2;1;2;3;2;4;1;4;4;4;2;3;1;2;1;3;2;4;4;4;4;4;3;3;3;4;2;4;3;2;2;4;4;4;4;3;2;3;2;2;2;2;2;1;4;2;1;2;2;4;1;4;1;2;3;2;4;3;4;3;2;1;1;1;2;2;3;3;3;3;3;2;3;2;3;3;1;2;3;2;3;2;3;2;2;3;3;2;3;3;2;2;4;2;4;2;1;1;1;1;1;1;1;1;1;1;4;4;4;4;3;2;1;1;2;4;2;1;2;1;2;4;1;2;1;2;1;1;1;1;1;3;3;2;4;3;2;1;1;2;2;1;3;4;1;1;4;4;4;"Chcialabym zbadac co sie dzieje po smierci.";"Jest to dla mnie bardzo interesujace, gdyz zyje w strachu co bedzie wtedy, gdy juz mnie na tym swiecie nie bedzie.";4;"nie mam zielonego pojecia";"nie wiem";24;2;"";"1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";0;0;"Neutral";"";"";"Unknown"
